id,price_day,f_property_type,f_neighbourhood,n_accommodates,n_bathrooms,n_minimum_nights,n_beds,n_review_scores_rating,n_number_of_reviews,n_bedrooms,d_instant_bookable,d_wifi,d_refrigerator,d_air_conditioning,d_baby,d_beach,d_stove,d_free_parking,d_office,d_coffee_maker,d_garden,d_gym
25428,125,rental unit,Centrum-West,3,1,14,1,5,5,1,0,1,1,0,0,0,1,0,0,1,0,0
30431,50,rental unit,Centrum-Oost,2,1.5,90,1,4.88,9,1,0,1,0,0,0,0,0,0,0,0,0,0
41125,160,rental unit,Centrum-West,3,1,4,1,4.8,89,1,0,1,1,0,0,0,1,0,0,1,0,0
43980,67,rental unit,Zuid,2,1,7,2,4.02,61,1,0,1,1,0,1,1,1,0,0,1,0,0
44391,240,rental unit,Centrum-Oost,4,1.5,3,2,4.7,41,2,0,1,1,1,0,0,1,0,0,1,0,0
47061,140,rental unit,De Baarsjes - Oud-West,3,1.5,2,2,4.78,182,2,0,1,1,0,0,0,1,0,0,1,0,0
55621,222,rental unit,De Pijp - Rivierenbuurt,4,1,3,2,4.77,32,2,0,1,1,0,0,0,1,0,0,1,0,0
55868,149,rental unit,Zuid,4,1.5,4,2,4.86,95,2,0,1,0,0,0,0,0,0,0,1,0,0
62015,120,rental unit,Oud-Oost,2,1.5,2,1,4.91,35,1,0,1,1,0,0,0,1,0,0,1,0,0
62801,750,rental unit,Bos en Lommer,4,NA,30,1,4.86,0,2,0,1,0,0,0,0,0,0,0,0,0,0
67841,106,rental unit,De Pijp - Rivierenbuurt,2,1,2,1,4.71,16,1,0,1,0,0,0,0,0,0,0,0,0,0
75499,90,rental unit,De Baarsjes - Oud-West,2,1,4,2,4.97,36,1,0,1,0,0,0,0,0,0,0,0,0,0
82748,249,rental unit,Centrum-West,4,1,3,2,4.79,131,1,0,1,1,0,0,0,1,0,0,1,0,0
85008,66,rental unit,Zuid,2,1.5,30,2,4.27,11,NA,0,1,1,0,0,0,1,0,1,0,0,0
97476,99,rental unit,Zuid,2,1,7,1,4.88,53,1,0,1,1,0,0,0,1,0,0,1,0,0
104800,150,rental unit,Bos en Lommer,3,1,3,1,4.61,97,2,0,1,1,0,0,0,1,0,0,1,0,0
108890,100,rental unit,De Baarsjes - Oud-West,4,1,5,2,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0
110246,125,rental unit,De Baarsjes - Oud-West,3,2,10,2,4,4,2,0,1,0,1,0,0,0,0,0,0,0,0
141708,145,rental unit,Oostelijk Havengebied - Indische Buurt,3,1,4,2,4.75,86,2,0,1,0,0,0,0,0,0,0,1,0,0
155548,150,rental unit,Oud-Oost,2,1,7,1,4.76,21,1,0,1,0,0,0,0,0,0,0,0,0,0
